Character,Relation,Concept
Harry_Bryants,strugglesWith,Unknown Concept
Hasking,linkedTo,Unknown Concept
Hitler,linkedTo,Unknown Concept
Ho_ho,linkedTo,Unknown Concept
Holden,linkedTo,Unknown Concept
Hollywood,contextualizes,Unknown Concept
Horace,linkedTo,Unknown Concept
Horst,linkedTo,Unknown Concept
Horst_Hartman,linkedTo,Unknown Concept
However,linkedTo,Unknown Concept
Indiana,contextualizes,Unknown Concept
Iran,contextualizes,Unknown Concept
Irmgard_Baty,linkedTo,Unknown Concept
Isidore,linkedTo,Unknown Concept
JR,linkedTo,Unknown Concept
J_R_Isidore,linkedTo,Unknown Concept
Jarry,linkedTo,Unknown Concept
Jesus,linkedTo,Unknown Concept
John_Isidore,linkedTo,Unknown Concept
Judy,linkedTo,Unknown Concept
Jurassic,contextualizes,Unknown Concept
Keerist,linkedTo,Unknown Concept
Klugman,linkedTo,Unknown Concept
Leningrad,contextualizes,Unknown Concept
Lisa_Della_Casa,linkedTo,Unknown Concept
Lotte_Lehmann,linkedTo,Unknown Concept
Luba,contextualizes,Unknown Concept
Luba_Luft,linkedTo,Unknown Concept
Luba_Luft,strugglesWith,Unknown Concept
Luba_Lufts,linkedTo,Unknown Concept
Lurie_Kampff,strugglesWith,Unknown Concept
Maggie_Klugman,linkedTo,Unknown Concept
Mann,linkedTo,Unknown Concept
Manx,linkedTo,Unknown Concept
Mark,linkedTo,Unknown Concept
Mars,contextualizes,Unknown Concept
Marsten,strugglesWith,Unknown Concept
Max_Polokov,linkedTo,Unknown Concept
Mercer,linkedTo,Unknown Concept
Mercer,strugglesWith,Unknown Concept
Mercerite,linkedTo,Unknown Concept
Mexico,contextualizes,Unknown Concept
Milt,linkedTo,Unknown Concept
Milt_Borogrove,linkedTo,Unknown Concept
Miss_Luft,linkedTo,Unknown Concept
Miss_Luft,strugglesWith,Unknown Concept
Miss_Rosen,linkedTo,Unknown Concept
Miss_Rosen,strugglesWith,Unknown Concept
Mozart,linkedTo,Unknown Concept
Muhe,linkedTo,Unknown Concept
New_America,contextualizes,Unknown Concept
New_England,contextualizes,Unknown Concept
New_New_York,contextualizes,Unknown Concept
Northern_California,contextualizes,Unknown Concept
Oakes,linkedTo,Unknown Concept
Pamina,strugglesWith,Unknown Concept
Penfield,linkedTo,Unknown Concept
Phil_Resch,linkedTo,Unknown Concept
Phil_Resch,strugglesWith,Unknown Concept
Phil_Reschs,strugglesWith,Unknown Concept
Pilsen,linkedTo,Unknown Concept
Polokov,strugglesWith,Unknown Concept
Polokov,linkedTo,Unknown Concept
Polokovbetter,linkedTo,Unknown Concept
Pris,linkedTo,Unknown Concept
Pris_Stratton,linkedTo,Unknown Concept
Pris_Stratton,strugglesWith,Unknown Concept
Proxima,contextualizes,Unknown Concept
Rachael,strugglesWith,Unknown Concept
Rachael,linkedTo,Unknown Concept
Rachael_Rosen,linkedTo,Unknown Concept
Rachael_RosenRachael,strugglesWith,Unknown Concept
Rachael_Rosens,strugglesWith,Unknown Concept
Rachael_Rosens,linkedTo,Unknown Concept
Resch,linkedTo,Unknown Concept
Resch,strugglesWith,Unknown Concept
Rick,strugglesWith,Unknown Concept
Rick,linkedTo,Unknown Concept
Rick_Deckard,linkedTo,Unknown Concept
Rick_Deckard,strugglesWith,Unknown Concept
Rosen,strugglesWith,Unknown Concept
Rosen,linkedTo,Unknown Concept
Rosens,contextualizes,Unknown Concept
Rosens,linkedTo,Unknown Concept
Roy,linkedTo,Unknown Concept
Roy_Baty,strugglesWith,Unknown Concept
Roy_Baty,linkedTo,Unknown Concept
Russia,contextualizes,Unknown Concept
Salander,linkedTo,Unknown Concept
Salander_3,strugglesWith,Unknown Concept
San_Francisco,contextualizes,Unknown Concept
Santa_Claus,strugglesWith,Unknown Concept
Seattle,contextualizes,Unknown Concept
Siddons,linkedTo,Unknown Concept
Sidney,linkedTo,Unknown Concept
Sloat,linkedTo,Unknown Concept
Sloat,contextualizes,Unknown Concept
Suspends,strugglesWith,Unknown Concept
Tampico,contextualizes,Unknown Concept
Titus_Corning,linkedTo,Unknown Concept
US,contextualizes,Unknown Concept
Voigt,exemplifies,Unknown Concept
Voigt,strugglesWith,Unknown Concept
Voigt,linkedTo,Unknown Concept
W4,linkedTo,Unknown Concept
Washington,contextualizes,Unknown Concept
Wilbur_Mercer,linkedTo,Unknown Concept
Wild,linkedTo,Unknown Concept
Wyoming,contextualizes,Unknown Concept
Zip_click_zip,linkedTo,Unknown Concept
the_Antarctic_Circle,contextualizes,Unknown Concept
the_Bay,contextualizes,Unknown Concept
the_Sol_System,linkedTo,Unknown Concept
the_Soviet_Union,contextualizes,Unknown Concept
the_United_States,contextualizes,Unknown Concept
the_Western_Hemisphere,contextualizes,Unknown Concept
vid,linkedTo,Unknown Concept
vita_incerta,linkedTo,Unknown Concept
ya,linkedTo,Unknown Concept
yearninghe,strugglesWith,Unknown Concept
